,score,text,fold
83,4,hàng ok túi đeo chéo,2
84,1,dởm tiền nào của nấy cũng tạm được thôi,0
85,5,sản_phẩm đẹp hàng đẹp da sờ mềm thích gói hàng thì cẩn_thận vote 5 sao,2
86,4,bốn sao túi đẹp giá rẻ nhưng màu hơi đậm hơn so với trong hình,2
87,3,ba sao da đẹp,4
88,5,tốt thực_sự hài_lòng sản_phẩm tốt giá_thành rẻ 79k,4
89,3,kính_mát nam chất_lượng chưa được tốt,2
90,5,túi đeo chéo lata hơn 1 mình mới nhận được sản_phẩm sáng nay rất ưng_ý sản_phẩm nhìn ngoài rất đẹp,4
91,5,tuyệt_vời túi rất đẹp và chắc_chắn giá lại rẻ sẽ mua tiếp,4
92,3,ba sao túi đẹp,0
93,5,năm sao túi đẹp da mềm chất_lượng tốt hài_lòng với sản_phẩm,2
94,5,giao hàng nhanh sản_phẩm đẹp giá rẻ rất ưng_ý với tất_cả 4 sản_phẩm mình đã mua,3
95,3,ba sao hàng dùng được nhưng hơi đắt so với thực_tế,2
96,4,good,0
97,4,chất_lượng ok,1
98,4,chất_lượng túi dày_dặn chắc_chắn đường may đẹp khá hài_lòng với sản_phẩm này,0
99,5,năm sao,3
100,5,túi đẹp đường may cũng chắc_chắn cám_ơn lata cám_ơn lazada 5 sao so với giá tiền,1
101,3,ba sao rất tốt,2
102,3,ba sao em rất ứng sản_phẩm rất đúng mục_đích của em,2
103,3,ba sao ok,3
104,3,ba sao tốt giao hàng nhanh hàng ưng_ý,0
105,5,túi đẹp tương_ứng với giá mình rất hài_lòng,2
106,5,hài_lòng với sp này sp có thương_hiệu chất_liệu tốt giá giảm rẻ quá mình mua luôn 6 cái,3
107,5,quá_sức hài_lòng cực_kì hài_lòng khi nhận được sản_phẩm rất đẹp mình rất rất thích luôn lại còn được bảo_hành nữa < 3,1
108,5,hàng chất lương_y trong hình hàng đẹp đường may đẹp lần đầu mua mà ương ý lắm lun,0
109,4,thích mình đã đặt mua và dùng được một thời_gian túi khá chất_lượng túi đẹp đeo cũng khá bền với giá_cả như_vậy rất phù_hợp,0
110,5,năm sao sản_phẩm đẹp đúng như trong hình_ảnh đang bán mình mua tặng sinh_nhật ngươi được tặng rất thích và khen giỏ tốt đường chỉ may chắc_chắn mình sẽ tiếp_tục ủng_hộ thương_hiệu lata này,3
111,5,năm sao,4
112,5,tui sách tui sách mềm êm giống như lazada đã giới_thiệu tôi rất hài_lòng,1
113,4,bốn sao ok ngon bổ rẽ,1
114,5,năm sao giá_cả phải chăng túi giống hình nói_chung ok,4
115,5,năm sao 1 năm trước hàng đẹp bền mình rất ưng_ý,0
116,5,đánh_giá vừa_ý khi nhận sản_phẩm,3
117,5,năm sao,4
118,5,túi đeo chéo lata hàng rất chi là oke thanks lazada nhé,1
119,5,da đẹp ưng_ý lắm,1
120,4,hàng được mua để tặng nói túi_xách 99000đ người được tặng không tin phải cao_giá hơn và cảm_ơn,1
121,3,túi chéo ok vải đẹp hợp túi_tiền,0
122,5,năm sao dày_dặn đẹp như hình rất thích,2
123,5,năm sao túi rất đẹp y_như hình đầy_đặn đường chỉ chắc_chắn giao hàng rất nhanh,1
124,1,giao hàng chậm quá 7 hôm rồi mình vẫn chưa nhận được khi nào hàng về mình sẽ hoàn_trả lại shop,3
125,1,một sao 1 năm trước đường chất_lượng tốt,2
126,5,năm sao chất_lượng đúng như thông_tin sản_phẩm oke,2
127,5,tốt sản_phẩm tốt và đẹp như đúng cam_kết,4
128,4,tốt,2
129,5,đẹp và rẻ dùng ok so với giá là quá ổn mua ở ngoài cùng loại phải trên 300k cám_ơn shop và lazada,2
130,5,túi da đẹp túi đẹp da tốt rất ưng_ý tuy_nhiên mong lazada giao hàng nhanh hơn_nữa,1
131,4,bốn sao 1 năm trước lần đầu_tiên mua hàng trên lazada hàng giống như hình mới rất đẹp,4
132,5,năm sao cũng được,2
133,2,tạm ổn,4
134,4,hỏi hôm trước có đăng_kí mua 1 túi_xách da_bò thế này mà không thấy liên_hệ nên hỏi thử có hàng này không ạ,2
135,5,đẹp túi đẹp hơn mấy mẫu khác của lata đường may sắc_sảo xài rất bền,4
136,1,mua tặng bạn xài chưa bao_lâu đẫ đứt hàng vàng_mã,3
137,2,mình nhận được hàng rồi túi so với hình ko giống lắm về kích_thước,3
138,5,rẻ đẹp màu_sắc đường may đẹp vải lót trong cũng rất tốt giao hàng lại nhanh rất vừa_ý,4
139,4,ưng_ý sản_phẩm đẹp so với giá nhưng logo nó không ở chính giữa sản_phẩm mà ở 1 góc sản_phẩm không giống trên hình nhỉ nói_chung là ưng,1
140,5,năm sao tốt,4
141,5,năm sao nhận hàng hơi trễ nhưng chất_lượng ok giống mẫu đường may ngay_ngắn lớp lót bên trong đẹp hài_lòng về sản_phẩm,1
142,4,tốt hàng giống hình_hài_lòng,2
143,5,năm sao hàng đẹp da mềm cảm_ơn lazada,2
144,3,đẹp túi may chắc_chắn y hình,3
145,2,hai sao,1
146,4,bốn sao sản_phẩm ổn ngoài việc màu đậm hơn so với hình thì còn lại tốt da mềm đường may chắc_chắn,3
147,5,hài_lòng sản_phẩm đẹp chắc_chắn giá rẻ cảm_ơn lata và lazada,4
148,5,rất đáng đồng_tiền,0
149,4,bóp đeo sản_phẩm đẹp giá tốt,2
150,5,rất đẹp cám_ơn lata và lazada túi may rất đẹp tôi không nghĩ hàng việt nam hơn trăm bạc mà_lại đẹp đến vậy trong tương_lai sẽ tiếp_tục mua đồ của các bạn,1
151,1,hàng may bị lỗi bởi_vậy nên mới bán giá đó,0
152,4,hàn tốt lắm tôi đã mua và công_nhận hàng rất tốt,1
153,5,năm sao rất đẹp,2
154,1,không bao_giờ mua nữa,2
155,5,chất_lượng cực_kì đã mua đc gần 1 tháng rồi mình thấy lata rất có uy_tín và hàng rất bền đẹp tuy_nhiên theo mình nếu muốn tương_lai sẽ còn đc biết đến rộng_rãi hơn nữa lata nên đầu_tư đa_dạng mãu túi cho chị_em phụ_nữ vì chị_em túi_xách là một phần cs rồi nên sẽ đầu_tư cho túi đẹp và nếu rẻ mà bền thì càng tốt đặc_biệt đa_dạng màu hơn nhé lata các màu như đỏ xanh hồng bởi theo mình biết thì da có_thể nhuộm đc mỗi nâu vs đen trông ko hút mắt lắm,2
156,5,hàng đẹp và rẻ hơn mong_đợi mình mua khi sản_phẩm sale off nhưng không_thể tin được là túi đẹp đến thế chắc_chắn dày_dặn đường may rất cẩn_thận mình có nhiều túi qc đắt tiền gấp chục lần mà cũng ko được như_vậy ủng_hộ lata dài_dài,3
157,3,ba sao túi rất đép giống_hệt trên ảnh tôi rất thích,1
158,5,túi túi đẹp chất_liệu ổn mầu đẹp < 3,2
159,5,túi đeo chéo lata da_bò nhạt mình rất hài_lòng về chất_lượng của túi và cách làm_việc của lazada tặng 5 sao,3
160,5,rất hài_lòng về sản_phẩm hi_hi,3
161,5,lata mùi túi đẹp,4
162,5,rất ok ok,1
163,4,bốn sao chất_lượng túi tốt hơn nhiều so với mình nghĩ khi mua với giá đó đường may chắc_chắn màu y_như hình_hài_lòng về sản_phẩm,4
164,5,hàng quá đẹp đúng là hàng việt nam chất_lượng cao túi da khá dày và mềm đường may chắc_chắn mình mua chiếc màu vàng nhạt nhìn rất đẹp dễ phối đồ có điều kích_thước hơi nhỏ không đủ cho đựng vở đi học nên chỉ thích_hợp đeo đi chơi thôi,3
165,5,tốt hài_lòng,0
166,5,good quá bất_ngờ khi nhận được hàng giá chỉ 99k theo tôi chỉ tiền công may là dư rồi may rất đẹp đường may sắc nét túi thì chỉ 1 từ đẹp tuyệt_vời ông mặt_trời hơn những gì mình tưởng trước giờ mua hàng chưa sản_phẩm nào rẻ mà tốt như thế này thật không_thể tin nổi sẽ đặt thêm 10 sản phâmt nữa làm_quà biếu anh_chị nhà phân_phối sản_phẩm nầy chúc bạn mua may bán đắc,4
167,5,túi da_bò nâu nhạt hài_lòng sản_phẩm đẹp đường may và khóa rất chắc_chắn kích_thước chuẩn giống như thông_tin đã cung_cấp màu túi đậm hơn so với ảnh chụp một_chút giao hàng đóng_gói sản_phẩm cẩn_thận mình rất ứng ý cám_ơn lazada,3
168,5,đẹp và chất sản_phẩm đẹp hơn hình luôn lần đầu_tiên mua cái túi da mà thấy hài_lòng chắc_chắn dày_dặn,1
169,5,ok mình mới nhận sản_phẩm giỏ đẹp đường may rất đều và đẹp da dày mềm ok giá rẻ,2
170,5,good rất vừa_ý hàng đẹp,2
171,4,bốn sao da mềm giống y chang như hình nói_chung vừa túi_tiền,2
172,5,túi đẹp túi đẹp gống hình ủng_hộ lazada nhiều hơn nữa cảnm ơn lazada,2
173,4,nice đẹp hài_lòng,0
174,5,năm sao túi đẹp như hình đường may khá đẹp da mềm túi kích_thước vừa_vặn dễ kết_hợp đồ màu hơi đậm so với ảnh nhưng rất đẹp,2
175,4,bốn sao giá tốt sản_phẩm tốt đường may đẹp chất_liệu da ổn vải lót dày kích_thước túi hơi nhỏ,1
176,1,túi da ưng lắm đi chơi thật tuyệt cám_ơn lazada,3
177,4,bốn sao đẹp_chất da khá tốt,2
178,4,tốt trong tầm giá túi đẹp da tốt lớp lót êm_ái khóa kéo chắc_chắn nhưng hơi nhỏ chỉ đủ bỏ ví tiền và điện_thoại thôi,3
179,5,túi đeo chéo lata da_bò nhạt mình rất hài_lòng về chất_lượng của túi và cách làm_việc của lazada tặng 5 sao,2
180,5,năm sao túi đẹp y hình rất hài_lòng,3
181,5,tốt sản_phẩm đẹp và tốt như hình,0
182,3,ba sao túi đẹp chất_lượng đường may ưng_ý ok,3
183,4,bốn sao túi may chắc_chắn rất thích mỗi tội màu đậm hơn so với hình,4
184,4,good sản_phẩm tốt,2
185,3,khá hài_lòng về sản_phẩm mình cũng là người hay mua hàng online cũng mua nhiều shop nhưng đây là lần đầu_tiên mình mua trên lazada mình mới đặt_hàng chiều hôm_qua thì chiều hôm_nay đã nhận được hàng phải công_nhận lazada gói hàng rất kĩ mình rất thích và hàng nhận được thì màu_sắc như hình đường mau khá chắc nói_chung nhìn thích còn kích_thước thì đựng được quyển vở khá là ok và mình cũng hài_lòng về cách xác_nhận đơn hàng hi_vọng lazada sẽ nhiều sản_phẩm giá_cả hợp_lý và chất_lượng tốt để phục_vụ khách_hàng,0
186,5,hải lòng hải lòng,4
187,4,ok 1 năm trước chất_liệu cứng hơn mình nghĩ không mềm lắm màu_sắc đúng như hình dùng mấy tháng rồi chưa thấy bong tróc sứt chỉ dùng cũng được,0
188,4,good mua ngày giảm_giá còn 91k mình rất hài_lòng về chất_lượng đường may đẹp chắc_chắn túi để được ví và điện_thoại màu thì nhạt hơn so với hình nói_chung là ok,4
189,5,hàng đẹp đường may chắc giá rẻ,3
190,4,khá tốt mới nhận hàng hôm_nay da_bò mềm màu không chuẩn như hình lắm màu như da_bò nhạt lớp lót đẹp đường may chắc_chắn kích_thước hơi nhỏ chỉ để được ipad mini để dùng lâu coi có bền không,0
191,5,quá chất_lượng giá rẻ mà chất_lượng thì quá tốt da mềm đường may chắc_chắn kiểu_dáng y_như hình rất đáng để mua giao hàng rất nhanh sẽ luôn ủng_hộ lata và lazada,4
192,2,hai sao tốt,2
193,1,một sao good,4
194,5,hài_lòng mẫu_mã đẹp chất_liệu tốt,4
195,2,kém da xấu nhàu giao hàng bị lỗi tróc da ngay gần nút gài,1
196,5,mình nhận được hàng từ lazada hàng rất tốt,1
197,5,túi đeo chéo hàng chất_lượng,4
198,4,hài_lòng về sản_phẩm da mềm đường chỉ chắc_chắn thiết_kế phù_hợp với nhu_cầu của mình,4
199,1,sản_phẩm bị lỗi dây đeo thiếu móc,1
200,5,năm sao túi đẹp mình mua đợt sale 70k thấy túi quá thích luôn hợp đi chơi,3
201,5,năm sao hàng đẹp rất hài_lòng,3
202,1,một sao 1 năm trước tôi rất hài_lòng về sản_phẩm mình mua trên lazada,2
203,3,sản_phẩm đẹp nhưng kích_thước nhỏ hơn lazada đã mô_tả chất_liệu tốt đường may đẹp nhưng giao cho mình nhầm màu mình đặt màu_da_bò nhạt nhưng nhận màu_da_bò đậm,1
204,5,tốt hàng rất tốt đường may chắc_chắn cảm_ơn lazada,3
205,5,rất đẹp ạ,0
206,3,đẹp,1
207,4,bốn sao sản_phẩm đẹp chất_lượng tốt giá_cả hợp_lý,1
208,5,sản_phẩm tốt sản_phẩm đẹp và chất_lượng so với giá đó,0
209,5,năm sao túi khá đẹp giống hình trên trang khá hài_lòng,3
210,4,túi đẹp hài_lòng với sản_phẩm ok,1
211,5,tốt giao hàng nhanh hàng đúng mẩu,0
212,5,năm sao,3
213,4,bốn sao da mềm nhưng tôi hỏi nhờ tốt đang mua,1
214,4,túi đeo chéo đường may khá chắc_chắn màu túi ok chỉ là gói hàng bằng một tờ giấy có nhiều ng ko để_ý lấy dao rọc giấy mở xẹc cái là đi luôn cái túi nên gói cho cẩn_thận bằng 2 ba lớp để tránh trường_hợp trên,2
215,5,năm sao túi đẹp chất_lượng tốt tôi đã đặt mua tổng_cộng 9 cái với giá 99k cái cảm_ơn lazada,0
216,5,thích quá bất_ngờ về sản_phẩm_giá rất rẻ chất_lượng lại miễn chê mình sẽ giới_thiệu nhiều ng mua chế_độ bảo_hành cũng rất ok đặc_biệt giao hàng cực nhanh,0
217,4,gía nguyên túi da mềm đường may sắt sảo,2
218,5,túi của lata đã mua và đã sử_dụng túi y hình đường may đẹp thương_hiệu lata tôi nghĩ mọi người nên sử_dụng,1
219,5,túi full đẹp lun lại đc giảm_giá tuyệt_vời túi đẹp cả trong lẫn ngoài,0
220,3,ba sao mình thấy rất hài_lòng,3
221,4,giỏ xách lata hàng như hình rất tốt,4
222,1,không như quảng_cáo có mỗi 1 ngăn có mỗi 1 ngăn làm quái gì có ngăn khoá như hình quảng_cáo,2
223,5,tốt đã nhận hàng nhanh hơn kế_hoạch hàng đẹp thích,1
224,5,túi đẹp tốt mình rất hài_lòng,0
225,5,phương ok,1
226,5,năm sao da kiểu đều rất đẹp và vừa_ý nữa rất vừa_ý,3
227,4,bốn sao sản_phẩm ổn màu_da giống hình chỉ may tốt bên trong vải nỉ nên bất_ngờ chút,1
228,5,good mình hài_lòng về chất_lượng vì không nghĩ giá_như vậy_mà được hàng tốt mỗi tội giao hàng chậm quá,1
229,4,hài_lòng giao hàng nhanh gói hàng cũng đẹp nữa về chiếc túi thì mẫu_mã giống trong mô_tả dây đeo chắc_chắn nhưng có_điều màu hơi nhạt hơn so với trong hình tý nhưng sản_phẩm_chất_lượng rất ok,0
230,5,đẹp chất_liệu bên trong mềm_mại rất ưng_ý sản_phẩm này mình phải mua thêm 1 cái dùm chị hàng_xóm đó,4
231,3,ba sao túi đeo giống như hình đẹp nhưng hơi nhỏ,2
232,3,ba sao giỏ đẹp giá_cả vừa túi_tiền công_nhận,4
233,4,bốn sao sản_phẩm như mô_tả đường may cẩn_thận hài_lòng với sản_phẩm,0
234,5,túi đeo chéo hàng chất_lượng bền đẹp,2
235,5,tuyệt_vời chất_lượng ok 5 sao,0
236,5,năm sao mình rất hài_lòng về sản_phẩm,3
237,5,chất_lượng tốt giá rẻ em này đẹp như hình đường may chắc_chắn da mềm nên đeo rất thoải_mái bên trong lót vải cũng mềm nch là rất ưng_ý chắc phải mua thêm cái nữa 3,0
238,4,bốn sao túi đẹp đúng như thông_tin sản_phẩm,0
239,4,bốn sao 1 năm trước đẹp giống hình lớp vải bên trong ok giá mềm,3
240,5,năm sao đã nhận được sản_phẩm vô_cùng ưng_ý,0
241,1,một sao giá tốt kiểu đẹp da để ok,1
242,2,tạm được hơi nhỏ lúc mua ko để_ý kích_cỡ mua về thì cảm_giác túi nhỏ là nam đeo thì hơi dở nhìn trông ái ái thích_hợp với nữ hơn,2
243,5,năm sao sản_phẩm này nhìn khá thời_trang bắt_mắt nhé mình mua cho em nó dùng rất tốt vì dùng lâu rồi mà còn như mới luôn hé,3
244,4,bốn sao được giá tốt chất_lượng,0
245,5,rất hài_lòng túi đẹp ngoài sự mong_đợi của mình quá rẻ cho 1 sp chất_lượng giao hàng nhanh ngoài dự_kiến,4
246,5,ok túi đẹp vừa_ý,3
247,4,bốn sao good,0
248,5,năm sao túi đúng hình da mềm đẹp thikkk,0
249,5,năm sao sản_phẩm tuyệt với dãy đường may chắc_chắn tôi rất thích nên mua thêm 2 cái nền_tảng cho bạn,3
250,5,sản_phẩm như hình sản_phẩm đẹp đường may tỉ_mẩn đáng tiền tôi mua,4
251,1,nói_chung thì với giá tiền này túi là phù_hợp chứ cũng chẳng sale với không sale gì nhìn thì đẹp mà nhận thì chất_lượng hơi chán dây đeo dài quá bây_giờ làm thế_nào để tháo ra đây,4
252,4,túi quai chéo cảm_ơn lazada mình nhận được hàng sớm hơn nhiều so với dự_kiến túi đẹp tuy_nhiên màu đậm hơn so với ảnh,4
253,4,bốn sao sản_phẩm tốt đúng như hình,2
254,4,chiếc túi rất đẹp chiếc túi rất đẹp thích_hợp đi chơi đi học thêm vì nếu bỏ tập chỉ bỏ được 12 quyển nói_chung đây là một sản_phẩm khá tốt với giá cực_kì phải_chăng mong là sẽ mau_chóng có thêm nhiều mẫu mới với chất_lượng ngày_càng tốt hơn cảm_ơn lazada,4
255,3,ba sao mình ưng_ý với sản_phẩm đã mua,4
256,5,rất hài_lòng mua bữa giá 69k da đẹp rất chắc_chắn mình cực thích,4
257,5,năm sao giao hàng nhanh hơn dự_kiến sp đc đóng_gói tốt chất_lượng sp rất ok dây đeo khá chắc_chắn giả rẻ nữa nên mua các bạn ạ,4
258,4,rất thích mình rất vui về chiếc túi này mới mang con bạn thấy cũng muốn mua một chiếc giá thì cũng khá là hợp_lý và hợp với túi_tiền của mình đường may chắc_chắn không bị lỗi 1 chút nào hết bên trong được may bằng vải nhung rất êm không lo bị thủng xước khi để vật nhọn sắc_bén và có nhiều ngăn nhỏ,3
259,4,sản_phẩm đẹp,1
260,4,tốt túi dày_dặn đường may chắc_chắn và da đẹp hơn so suy_nghĩ của mình nhưng màu đậm hơn trong hình 1 chút,3
261,5,hàng dùng ổn chất_liệu đẹp chú_ý là hàng cho nữ nam dùng không hợp lắm,0
262,5,năm sao túi da_bò nhìn chắc_chắn đường may tinh_xảo đeo lên nhìn rất đẹp đựng được khá nhiều đồ giao hàng nhanh_chóng đúng lúc cần cảm_ơn lazada nhé,1
263,4,bốn sao sản_phẩm đẹp như hình,3
264,5,tốt tốt giao hàng nhanh hàng chất_lượng tốt rất hài_lòng về sản_phẩm này,0
265,5,4 sao rưỡi túi to hơn hình tí nhưng cũng ok ai thích đơn_giản thì chọn vì chỉ có vài ngăn nổi_bật thôi,1
266,4,tốt hàng rất chắn chắn phù_hợp vs giá tiền có_điều còn đường kẻ may chưa xóa bằng viết nhủ mình ko xóa_đc hên là không rõ lắm,3
267,4,bốn sao mình nhận được hàng các bạn gửi rồi hàng như ảnh dùng tốt xin cảm_ơn,0
268,5,hàng rẻ mà chất_lượng giao hàng cực nhanh mình cũng không ngờ luôn chất_lượng quá ổn so với mức giá đường may nhìn khá chắc_chắn tuy_nhiên màu hơi đậm so với hình nhưng nhìn cũng ok lắm sẽ ủng_hộ hàng lata dài_dài,4
269,4,túi da mềm đẹp túi đẹp tuy_nhiên hơi già dùng cho trung_niên phù_hợp,4
270,3,ba sao bình_thường,2
271,4,sản_phẩm vừa_ý dùng rất tiện_lợi vừa túi_tiền với công_chức sản_phẩm vừa_ý dùng rất tiện_lợi vừa túi_tiền với công_chức,3
272,4,tốt,4
273,5,ok hài_lòng,1
274,5,đẹp chất_lượng ok túi mình nhận được y_như hình mình chọn giao hàng tiết_kiệm nhưng lazada giao hàng sớm hơn dự_kiến 3 da chắc_chắn đường may cũng đẹp nữa,0
275,5,rất hài_lòng hàng đẹp túi vừa phải đựng vừa ipad nói_chung là rất thích cảm_ơn anh giao hàng thân_thiện ạ,0
276,3,ba sao chất_liệu đẹp tuy_nhiên đường may hơi sâu nên lòng túi hơi nhỏnói chung là chất_lượng và giá_cả hợp_lý,0
277,3,ba sao mình rất thích sản_phẩm này mình thấy nó hợp với mình đơn_giản nhưng vẫn sang trọngchất liệu da_bò mềm_mại giá_cả lại rẻ hơn minh mua ngoài các cửa_hàng và mặt khách giao hàng rất nhanh_chóng nói_chung cũng mới mua một và sản_phẩm nhưng mình rất thích dịch_vụ của lazada,3
278,4,bốn sao,1
279,4,hàng chất_lượng hàng đẹp giá rẽ nhân_viên giao hàng nhanh,2
280,4,bốn sao cũng được,2
281,5,tôt hài_lòng với sản_phẩm,2
